GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SLF4J-Ansi,slf4jansi,AnsiLogger,20,52,1,3,6,16,4,7,3,6
SLF4J-Ansi,slf4jansi.impl,LocationAwareAnsiLogger,862,0,8,0,124,0,69,0,65,0
SLF4J-Ansi,slf4jansi.impl,JAnsiSupport,4,123,1,11,2,26,2,10,1,5
SLF4J-Ansi,slf4jansi.impl,SimpleAnsiLogger,695,63,96,4,149,16,107,6,57,6
SLF4J-Ansi,slf4jansi.impl,DefaultStyles,3,41,0,0,1,9,1,1,1,1
